slick_id,rank,source_id,type,cpa,tcpa,drift_overlap,ais_gap_anomaly,behavioral_anomaly,fused_score,dominant_factor,navic_tracked
SLK-0029,2,636627750,vessel,0.779,0.784,0.555,0.046,0.459,0.594,tcpa,False
SLK-0029,3,450533298,vessel,0.545,0.893,0.594,0.054,0.211,0.535,tcpa,False
SLK-0030,1,CALYPSO-PLATFORM-30,infrastructure,0.959,0.05,0.571,0.077,0.098,0.436,cpa,False
SLK-0032,1,DARK-4708,dark_vessel,0.757,0.605,0.52,0.815,0.663,0.671,ais_gap_anomaly,False
SLK-0033,1,209156627,vessel,0.779,0.948,0.601,0.121,0.356,0.645,tcpa,False
SLK-0033,2,209282255,vessel,0.867,0.731,0.549,0.116,0.123,0.582,cpa,False
SLK-0034,1,DARK-6015,dark_vessel,0.569,0.574,0.556,0.888,0.46,0.605,ais_gap_anomaly,False
SLK-0034,2,622605735,vessel,0.644,0.749,0.487,0.167,0.288,0.532,tcpa,False
SLK-0034,3,DARK-1452,dark_vessel,0.46,0.388,0.589,0.772,0.369,0.506,ais_gap_anomaly,False
SLK-0035,1,DARK-7471,dark_vessel,0.801,0.503,0.585,0.9,0.709,0.689,ais_gap_anomaly,False
SLK-0035,2,247462568,vessel,0.99,0.773,0.753,0.07,0.082,0.66,cpa,False
SLK-0037,1,237619045,vessel,0.786,0.568,0.66,0.06,0.362,0.555,cpa,False
SLK-0039,1,622354642,vessel,0.818,0.507,0.71,0.111,0.356,0.566,cpa,False
SLK-0039,2,247643585,vessel,0.748,0.626,0.537,0.125,0.183,0.525,cpa,False
SLK-0039,3,351578096,vessel,0.548,0.674,0.464,0.425,0.154,0.505,tcpa,False
SLK-0046,1,351187424,vessel,0.483,0.567,0.673,0.122,0.058,0.445,drift_overlap,False
SLK-0047,1,DARK-1482,dark_vessel,0.681,0.354,0.802,0.86,0.847,0.667,ais_gap_anomaly,False
SLK-0047,2,237319999,vessel,0.968,0.528,0.819,0.186,0.363,0.65,cpa,False
SLK-0048,1,DARK-4581,dark_vessel,0.661,0.58,0.477,0.748,0.624,0.613,ais_gap_anomaly,False
SLK-0048,2,271313338,vessel,0.404,0.711,0.554,0.039,0.296,0.445,tcpa,False
SLK-0049,1,DARK-3765,dark_vessel,0.481,0.323,0.712,0.872,0.478,0.546,ais_gap_anomaly,False
SLK-0051,1,538476219,vessel,0.6,0.887,0.842,0.202,0.194,0.62,tcpa,False
SLK-0052,1,DARK-5976,dark_vessel,0.42,0.622,0.6,0.847,0.672,0.596,ais_gap_anomaly,False
SLK-0053,1,247273721,vessel,0.962,0.704,0.477,0.322,0.114,0.62,cpa,False
SLK-0056,1,DARK-2967,dark_vessel,0.483,0.475,0.641,0.851,0.739,0.593,ais_gap_anomaly,False
SLK-0056,2,248806511,vessel,0.744,0.662,0.57,0.147,0.267,0.551,cpa,False
SLK-0056,3,271442693,vessel,0.781,0.525,0.663,0.219,0.056,0.537,cpa,False
SLK-0057,1,428313585,vessel,0.777,0.763,0.654,0.286,0.081,0.606,cpa,False
SLK-0057,2,248320347,vessel,0.786,0.563,0.567,0.237,0.296,0.555,cpa,False
SLK-0057,3,450997696,vessel,0.917,0.486,0.458,0.143,0.237,0.533,cpa,False
SLK-0058,1,DARK-9358,dark_vessel,0.524,0.39,0.547,0.837,0.602,0.55,ais_gap_anomaly,False
SLK-0058,2,DARK-7662,dark_vessel,0.665,0.112,0.664,0.93,0.338,0.534,ais_gap_anomaly,False
SLK-0058,3,271429472,vessel,0.638,0.597,0.686,0.02,0.223,0.503,drift_overlap,False
SLK-0059,1,622948156,vessel,0.865,0.6,0.728,0.178,0.044,0.586,cpa,False
SLK-0060,1,209101690,vessel,0.845,0.904,0.644,0.203,0.248,0.664,tcpa,False
SLK-0060,2,538200880,vessel,0.556,0.794,0.724,0.228,0.194,0.564,tcpa,False
SLK-0060,3,209230755,vessel,0.571,0.437,0.42,0.175,0.237,0.414,cpa,False
SLK-0061,1,636300684,vessel,0.897,0.761,0.581,0.128,0.304,0.625,cpa,False
SLK-0061,2,428093871,vessel,0.681,0.648,0.564,0.109,0.204,0.516,cpa,False
SLK-0061,3,636824267,vessel,0.449,0.726,0.45,0.156,0.357,0.465,tcpa,False
SLK-0064,1,622895805,vessel,0.938,0.703,0.579,0.253,0.207,0.632,cpa,False
SLK-0065,1,DARK-6529,dark_vessel,0.848,0.52,0.591,0.782,0.709,0.691,cpa,False
SLK-0066,1,247681925,vessel,0.877,0.614,0.516,0.078,0.26,0.558,cpa,False
SLK-0066,2,450020705,vessel,0.543,0.752,0.711,0.141,0.264,0.541,tcpa,False
SLK-0066,3,636420932,vessel,0.696,0.392,0.59,0.149,0.132,0.46,cpa,False
SLK-0068,1,DARK-7301,dark_vessel,0.546,0.518,0.58,0.888,0.697,0.612,ais_gap_anomaly,False
SLK-0068,2,622601277,vessel,0.585,0.809,0.66,0.155,0.338,0.567,tcpa,False
SLK-0068,3,209660649,vessel,0.654,0.818,0.503,0.245,0.264,0.564,tcpa,False
SLK-0069,1,538874626,vessel,0.946,0.673,0.505,0.173,0.395,0.619,cpa,False
SLK-0072,1,428731105,vessel,0.648,0.766,0.241,0.02,0.197,0.457,tcpa,False
SLK-0073,1,209887638,vessel,0.473,0.791,0.692,0.126,0.174,0.514,tcpa,False
SLK-0074,1,DARK-6910,dark_vessel,0.621,0.31,0.808,0.891,0.498,0.609,ais_gap_anomaly,False
SLK-0075,1,DARK-1457,dark_vessel,0.497,0.413,0.517,0.821,0.62,0.541,ais_gap_anomaly,False
SLK-0076,1,LEVIATHAN-PLATFORM-76,infrastructure,0.937,0.141,0.713,0.045,0.148,0.48,cpa,False
SLK-0077,1,271793450,vessel,0.775,0.818,0.491,0.136,0.269,0.582,tcpa,False
SLK-0077,2,622219349,vessel,0.852,0.773,0.398,0.02,0.164,0.548,cpa,False
SLK-0078,1,538437716,vessel,0.879,0.89,0.502,0.094,0.095,0.61,tcpa,False
SLK-0078,2,450828456,vessel,0.678,0.711,0.899,0.132,0.272,0.608,drift_overlap,False
SLK-0079,1,428376401,vessel,0.553,0.882,0.527,0.103,0.317,0.539,tcpa,False
SLK-0079,2,DARK-7116,dark_vessel,0.33,0.518,0.33,0.669,0.553,0.45,ais_gap_anomaly,False
SLK-0079,3,636966145,vessel,0.455,0.522,0.56,0.185,0.114,0.418,drift_overlap,False
SLK-0080,1,DARK-2857,dark_vessel,0.721,0.582,0.625,0.851,0.659,0.68,ais_gap_anomaly,False
SLK-0080,2,538022035,vessel,0.862,0.732,0.614,0.02,0.205,0.588,cpa,False
SLK-0081,1,248649259,vessel,0.908,0.809,0.574,0.3,0.034,0.638,cpa,False
SLK-0081,2,271407881,vessel,0.727,0.635,0.604,0.31,0.095,0.554,cpa,False
SLK-0081,3,237617778,vessel,0.767,0.562,0.68,0.061,0.194,0.535,cpa,False
SLK-0082,1,DARK-5389,dark_vessel,0.476,0.23,0.662,0.841,0.791,0.538,ais_gap_anomaly,False
SLK-0083,1,247126781,vessel,0.875,0.586,0.682,0.177,0.367,0.609,cpa,False
SLK-0083,2,DARK-2667,dark_vessel,0.758,0.262,0.648,0.829,0.512,0.598,ais_gap_anomaly,False
SLK-0084,1,622681378,vessel,0.483,0.661,0.99,0.051,0.308,0.547,drift_overlap,False
SLK-0084,2,DARK-5320,dark_vessel,0.367,0.442,0.372,0.664,0.628,0.457,ais_gap_anomaly,False
SLK-0085,1,KARISH-RIG-85,infrastructure,0.895,0.051,0.706,0.054,0.085,0.439,cpa,False
SLK-0086,1,450813298,vessel,0.627,0.922,0.846,0.145,0.079,0.617,tcpa,False
SLK-0086,2,248912188,vessel,0.674,0.99,0.773,0.02,0.086,0.616,tcpa,False
SLK-0088,1,636464337,vessel,0.852,0.708,0.874,0.266,0.34,0.681,drift_overlap,False
SLK-0089,1,271150200,vessel,0.771,0.641,0.81,0.02,0.02,0.559,drift_overlap,False
SLK-0089,2,271737867,vessel,0.68,0.711,0.479,0.11,0.295,0.524,tcpa,False
SLK-0089,3,622090515,vessel,0.603,0.487,0.544,0.281,0.168,0.47,cpa,False
SLK-0090,1,237129294,vessel,0.554,0.755,0.542,0.158,0.154,0.502,tcpa,False
SLK-0093,1,TAMAR-RIG-93,infrastructure,0.925,0.09,0.786,0.055,0.133,0.479,cpa,False
SLK-0094,1,351743136,vessel,0.786,0.617,0.668,0.212,0.169,0.572,cpa,False
SLK-0097,1,DARK-9430,dark_vessel,0.631,0.45,0.732,0.881,0.428,0.623,ais_gap_anomaly,False
SLK-0098,1,DARK-4432,dark_vessel,0.567,0.444,0.567,0.853,0.455,0.568,ais_gap_anomaly,False
SLK-0098,2,DARK-7504,dark_vessel,0.509,0.131,0.645,0.767,0.344,0.464,ais_gap_anomaly,False
SLK-0099,1,APHRODITE-FPSO-99,infrastructure,0.99,0.14,0.743,0.02,0.101,0.494,cpa,False
SLK-0101,1,622651631,vessel,0.759,0.777,0.765,0.081,0.21,0.608,tcpa,False
SLK-0101,2,248993041,vessel,0.66,0.891,0.497,0.172,0.26,0.572,tcpa,False
SLK-0101,3,622284929,vessel,0.677,0.457,0.693,0.02,0.24,0.483,drift_overlap,False
SLK-0102,1,248724238,vessel,0.967,0.703,0.607,0.025,0.02,0.593,cpa,False
SLK-0103,1,237597648,vessel,0.886,0.823,0.482,0.245,0.223,0.627,cpa,False
SLK-0103,2,DARK-5744,dark_vessel,0.419,0.227,0.468,0.765,0.491,0.44,ais_gap_anomaly,False
SLK-0104,1,351055261,vessel,0.86,0.929,0.678,0.184,0.301,0.684,tcpa,False
SLK-0104,2,428405250,vessel,0.963,0.703,0.727,0.212,0.197,0.662,cpa,False
SLK-0104,3,622999812,vessel,0.99,0.587,0.757,0.204,0.229,0.649,cpa,False
SLK-0105,1,DARK-5923,dark_vessel,0.203,0.641,0.505,0.777,0.508,0.49,ais_gap_anomaly,False
SLK-0106,1,622072391,vessel,0.648,0.603,0.511,0.258,0.193,0.505,cpa,False
SLK-0107,1,351161509,vessel,0.831,0.651,0.648,0.345,0.509,0.644,cpa,False
SLK-0107,2,636016113,vessel,0.657,0.605,0.53,0.05,0.11,0.473,cpa,False
SLK-0109,1,DARK-3762,dark_vessel,0.542,0.438,0.822,0.894,0.728,0.643,ais_gap_anomaly,False
SLK-0109,2,538889708,vessel,0.881,0.595,0.656,0.07,0.101,0.565,cpa,False
SLK-0109,3,271421824,vessel,0.607,0.713,0.784,0.128,0.269,0.563,drift_overlap,False
SLK-0110,1,636800431,vessel,0.705,0.813,0.636,0.062,0.437,0.595,tcpa,False
SLK-0111,1,351029449,vessel,0.95,0.91,0.515,0.127,0.362,0.671,cpa,False
SLK-0112,1,428502932,vessel,0.725,0.876,0.606,0.333,0.021,0.61,tcpa,False
SLK-0112,2,538953390,vessel,0.561,0.632,0.636,0.02,0.096,0.466,drift_overlap,False
SLK-0113,1,209914113,vessel,0.785,0.908,0.642,0.02,0.068,0.601,tcpa,False
SLK-0113,2,636772987,vessel,0.714,0.718,0.647,0.02,0.1,0.536,tcpa,False
SLK-0113,3,209940201,vessel,0.771,0.685,0.261,0.107,0.109,0.482,cpa,False
SLK-0114,1,TAMAR-PLATFORM-114,infrastructure,0.833,0.095,0.566,0.099,0.054,0.407,cpa,False
SLK-0116,1,DARK-5715,dark_vessel,0.637,0.665,0.477,0.832,0.734,0.651,ais_gap_anomaly,False
SLK-0118,1,DARK-1925,dark_vessel,0.368,0.211,0.357,0.583,0.721,0.394,behavioral_anomaly,False
SLK-0120,1,428409673,vessel,0.883,0.542,0.57,0.266,0.252,0.58,cpa,False
SLK-0120,2,DARK-9288,dark_vessel,0.507,0.384,0.591,0.799,0.626,0.549,ais_gap_anomaly,False
SLK-0121,1,237144880,vessel,0.99,0.15,0.742,0.226,0.148,0.532,cpa,False
SLK-0122,1,450032062,vessel,0.821,0.572,0.49,0.248,0.327,0.557,cpa,False
SLK-0122,2,DARK-9280,dark_vessel,0.328,0.35,0.546,0.93,0.503,0.485,ais_gap_anomaly,False
SLK-0122,3,DARK-3652,dark_vessel,0.353,0.371,0.444,0.783,0.551,0.46,ais_gap_anomaly,False
SLK-0123,1,450374863,vessel,0.795,0.415,0.754,0.303,0.307,0.569,cpa,False
SLK-0124,1,622189657,vessel,0.897,0.65,0.628,0.199,0.233,0.61,cpa,False
SLK-0124,2,271769845,vessel,0.63,0.855,0.72,0.054,0.13,0.568,tcpa,False
SLK-0126,1,351641775,vessel,0.624,0.748,0.716,0.245,0.142,0.568,tcpa,False
SLK-0127,1,TAMAR-FPSO-127,infrastructure,0.99,0.13,0.974,0.056,0.052,0.538,cpa,False
SLK-0129,1,351799328,vessel,0.518,0.704,0.797,0.069,0.249,0.526,drift_overlap,False
SLK-0130,1,636314762,vessel,0.799,0.624,0.564,0.199,0.267,0.565,cpa,False
SLK-0130,2,247387043,vessel,0.753,0.763,0.553,0.098,0.202,0.562,tcpa,False
SLK-0130,3,247053005,vessel,0.732,0.505,0.661,0.025,0.257,0.507,cpa,False
