id,timestamp,sensor,scene_id,region,sub_region,class,detection_confidence,slick_confidence,area_km2,age_estimate_hours,centroid_lat,centroid_lon,polygon_wkt,hitl_reviewed
SLK-0020,2019-05-04T16:40:13Z,Sentinel-1B,Sentinel1B_20190504_164013_935,Eastern Mediterranean Sea,dense_oil_zone,old_vessel,0.984,0.578,18.596,75.8,31.92792,32.01892,"POLYGON((32.05053 31.92444, 32.04213 31.94586, 32.01988 31.95234, 32.00408 31.94404, 31.99748 31.92721, 32.00617 31.91576, 32.02382 31.89977, 32.03597 31.91013, 32.05053 31.92444))",False
SLK-0064,2019-05-10T04:10:14Z,Sentinel-1B,Sentinel1B_20190510_041014_361,Eastern Mediterranean Sea,dense_oil_zone,recent_vessel,0.891,0.684,19.24,60.4,31.92259,32.83021,"POLYGON((32.86007 31.92085, 32.85475 31.93828, 32.83101 31.94173, 32.81339 31.94152, 32.80993 31.92318, 32.81731 31.90874, 32.82969 31.90003, 32.84873 31.90731, 32.86007 31.92085))",False
SLK-0008,2019-05-10T04:12:15Z,Sentinel-1B,Sentinel1B_20190510_041215_480,Eastern Mediterranean Sea,dense_oil_zone,recent_vessel,0.836,0.751,3.752,21.7,32.96535,34.19495,"POLYGON((34.20434 32.96544, 34.20252 32.97228, 34.19381 32.9767, 34.18887 32.97104, 34.18402 32.96531, 34.18826 32.95857, 34.19457 32.95615, 34.20474 32.95836, 34.20434 32.96544))",False
SLK-0110,2019-05-19T16:37:35Z,Sentinel-1A,Sentinel1A_20190519_163735_979,Eastern Mediterranean Sea,dense_oil_zone,coincident_vessel,0.935,0.595,7.689,11.3,32.44541,33.54043,"POLYGON((33.55679 32.4457, 33.55052 32.4578, 33.53763 32.45735, 33.52642 32.45165, 33.52203 32.43574, 33.53425 32.42789, 33.5518 32.43641, 33.55679 32.4457))",True
SLK-0044,2019-05-19T16:38:57Z,Sentinel-1A,Sentinel1A_20190519_163857_227,Eastern Mediterranean Sea,full_coverage,natural_seep,0.977,0.592,18.143,10.2,34.25629,29.39279,"POLYGON((29.41356 34.2551, 29.41917 34.26974, 29.39367 34.27158, 29.37997 34.27849, 29.37346 34.26404, 29.37503 34.24855, 29.37502 34.23349, 29.39544 34.22859, 29.41425 34.24235, 29.41356 34.2551))",False
SLK-0043,2019-05-19T16:39:34Z,Sentinel-1A,Sentinel1A_20190519_163934_974,Eastern Mediterranean Sea,full_coverage,natural_seep,0.872,0.573,7.012,9.3,32.05643,28.607,"POLYGON((28.62603 32.05532, 28.61584 32.06474, 28.60208 32.06795, 28.59594 32.06264, 28.59643 32.05047, 28.60465 32.043, 28.61938 32.04571, 28.62603 32.05532))",False
SLK-0066,2019-05-22T16:39:06Z,Sentinel-1B,Sentinel1B_20190522_163906_239,Eastern Mediterranean Sea,dense_oil_zone,recent_vessel,0.823,0.816,11.684,65.7,33.65082,34.99443,"POLYGON((35.01406 33.64884, 35.00388 33.66433, 34.98944 33.67083, 34.97619 33.66068, 34.98066 33.64392, 34.99079 33.63098, 35.00982 33.63714, 35.01406 33.64884))",False
SLK-0001,2019-05-22T16:40:27Z,Sentinel-1B,Sentinel1B_20190522_164027_128,Eastern Mediterranean Sea,full_coverage,coincident_vessel,0.78,0.591,1.882,89.8,33.39853,27.42231,"POLYGON((27.43077 33.39852, 27.42919 33.40469, 27.42266 33.4057, 27.41412 33.40415, 27.41518 33.39795, 27.41645 33.39258, 27.42183 33.39135, 27.42989 33.39323, 27.43077 33.39852))",False
SLK-0114,2019-05-28T04:09:40Z,Sentinel-1B,Sentinel1B_20190528_040940_785,Eastern Mediterranean Sea,dense_oil_zone,infrastructure,0.982,0.965,0.14,2.0,32.96072,31.54056,"POLYGON((31.54254 32.96058, 31.54214 32.96179, 31.54047 32.96212, 31.53887 32.96195, 31.53813 32.96069, 31.53877 32.95899, 31.54061 32.95905, 31.54238 32.95891, 31.54254 32.96058))",True
SLK-0127,2019-06-01T16:39:44Z,Sentinel-1B,Sentinel1B_20190601_163944_332,Eastern Mediterranean Sea,full_coverage,infrastructure,0.939,0.829,8.241,54.0,31.21543,29.05444,"POLYGON((29.07169 31.21475, 29.06836 31.22601, 29.05618 31.2265, 29.04581 31.22543, 29.04234 31.21953, 29.03928 31.21061, 29.04359 31.19979, 29.05702 31.19885, 29.06792 31.20614, 29.07169 31.21475))",False
SLK-0128,2019-06-06T16:37:13Z,Sentinel-1B,Sentinel1B_20190606_163713_963,Eastern Mediterranean Sea,dense_oil_zone,natural_seep,0.887,0.581,18.319,43.6,32.53334,30.35155,"POLYGON((30.38174 32.53622, 30.36312 32.54605, 30.3423 32.554, 30.33134 32.53928, 30.33074 32.52251, 30.34683 32.5155, 30.3699 32.51386, 30.38174 32.53622))",False
SLK-0074,2019-06-06T16:37:14Z,Sentinel-1B,Sentinel1B_20190606_163714_639,Eastern Mediterranean Sea,dense_oil_zone,coincident_vessel,0.944,0.769,21.188,37.8,34.47256,30.19434,"POLYGON((30.22883 34.47433, 30.2118 34.49388, 30.18419 34.50106, 30.17564 34.47851, 30.1674 34.45785, 30.18725 34.45465, 30.21935 34.45299, 30.22883 34.47433))",False
SLK-0052,2019-06-06T16:37:39Z,Sentinel-1B,Sentinel1B_20190606_163739_169,Eastern Mediterranean Sea,dense_oil_zone,old_vessel,0.883,0.581,21.361,18.7,34.00635,33.80193,"POLYGON((33.8242 34.00412, 33.82245 34.02475, 33.79957 34.0299, 33.78242 34.02398, 33.77652 34.00675, 33.78287 33.98629, 33.80385 33.98108, 33.82353 33.99051, 33.8242 34.00412))",True
SLK-0100,2019-06-06T16:39:16Z,Sentinel-1B,Sentinel1B_20190606_163916_636,Eastern Mediterranean Sea,full_coverage,old_vessel,0.916,0.721,0.957,37.6,36.09351,35.15324,"POLYGON((35.15955 36.09397, 35.15738 36.0981, 35.14976 36.09882, 35.14861 36.09307, 35.15001 36.08849, 35.15663 36.0893, 35.15955 36.09397))",True
SLK-0030,2019-06-06T16:40:44Z,Sentinel-1B,Sentinel1B_20190606_164044_228,Eastern Mediterranean Sea,dense_oil_zone,infrastructure,0.933,0.699,13.44,58.1,32.81519,34.68079,"POLYGON((34.70063 32.81474, 34.69558 32.83175, 34.6657 32.83212, 34.657 32.81558, 34.67389 32.80285, 34.69189 32.79488, 34.70063 32.81474))",False
SLK-0121,2019-06-12T04:10:07Z,Sentinel-1A,Sentinel1A_20190612_041007_663,Eastern Mediterranean Sea,dense_oil_zone,old_vessel,0.933,0.381,10.263,49.7,34.08499,32.33903,"POLYGON((32.35664 34.08691, 32.35562 34.0937, 32.34456 34.10464, 32.32494 34.10076, 32.32032 34.09177, 32.32099 34.07903, 32.33034 34.07571, 32.34362 34.07005, 32.34968 34.07706, 32.35664 34.08691))",False
SLK-0091,2019-06-16T04:12:32Z,Sentinel-1A,Sentinel1A_20190616_041232_660,Eastern Mediterranean Sea,dense_oil_zone,natural_seep,0.961,0.324,7.113,65.2,34.51128,31.74158,"POLYGON((31.7532 34.51126, 31.75016 34.52347, 31.73261 34.52429, 31.72494 34.50979, 31.73011 34.49928, 31.7512 34.49594, 31.7532 34.51126))",False
SLK-0111,2019-06-16T04:13:04Z,Sentinel-1A,Sentinel1A_20190616_041304_463,Eastern Mediterranean Sea,full_coverage,recent_vessel,0.938,0.754,6.398,61.4,36.06666,28.48223,"POLYGON((28.49818 36.06531, 28.48943 36.07366, 28.48428 36.07916, 28.46896 36.07921, 28.46714 36.06689, 28.46718 36.05744, 28.48241 36.05496, 28.49294 36.05543, 28.49818 36.06531))",True
SLK-0097,2019-06-20T16:38:34Z,Sentinel-1B,Sentinel1B_20190620_163834_902,Eastern Mediterranean Sea,full_coverage,old_vessel,0.845,0.613,21.935,45.9,35.32423,28.64147,"POLYGON((28.66948 35.32248, 28.6555 35.33795, 28.63812 35.34674, 28.62737 35.33647, 28.60506 35.32855, 28.61556 35.30263, 28.63908 35.30735, 28.66341 35.30766, 28.66948 35.32248))",False
SLK-0122,2019-06-20T16:41:00Z,Sentinel-1B,Sentinel1B_20190620_164100_368,Eastern Mediterranean Sea,dense_oil_zone,recent_vessel,0.921,0.882,9.607,91.1,33.03118,30.2642,"POLYGON((30.28447 33.03344, 30.27505 33.03903, 30.26928 33.05019, 30.25678 33.04074, 30.24793 33.03824, 30.24545 33.02681, 30.2498 33.01499, 30.26505 33.01346, 30.27498 33.02304, 30.28447 33.03344))",False
SLK-0010,2019-06-25T16:38:13Z,Sentinel-1A,Sentinel1A_20190625_163813_814,Eastern Mediterranean Sea,dense_oil_zone,coincident_vessel,0.872,0.864,16.622,21.8,32.67441,30.15973,"POLYGON((30.18752 32.67306, 30.17764 32.68931, 30.16384 32.69594, 30.14621 32.69291, 30.14214 32.68189, 30.13789 32.66454, 30.14991 32.6543, 30.16527 32.65523, 30.1799 32.66309, 30.18752 32.67306))",False
SLK-0026,2019-06-25T16:39:44Z,Sentinel-1A,Sentinel1A_20190625_163944_651,Eastern Mediterranean Sea,full_coverage,ambiguous,0.916,0.209,3.691,30.2,35.38202,27.28716,"POLYGON((27.3008 35.38126, 27.29359 35.3896, 27.28133 35.38887, 27.27337 35.38144, 27.2823 35.37268, 27.29148 35.37517, 27.3008 35.38126))",False
SLK-0047,2019-06-25T16:41:22Z,Sentinel-1A,Sentinel1A_20190625_164122_212,Eastern Mediterranean Sea,dense_oil_zone,recent_vessel,0.769,0.919,1.912,43.7,34.36425,30.79023,"POLYGON((30.79929 34.36483, 30.79402 34.37102, 30.78508 34.37074, 30.78159 34.36427, 30.78442 34.3579, 30.79489 34.35852, 30.79929 34.36483))",False
SLK-0080,2019-07-05T16:36:56Z,Sentinel-1A,Sentinel1A_20190705_163656_704,Eastern Mediterranean Sea,dense_oil_zone,old_vessel,0.726,0.667,9.862,81.4,34.46517,34.23489,"POLYGON((34.24985 34.46608, 34.24705 34.47371, 34.23634 34.47993, 34.2281 34.47553, 34.21928 34.4692, 34.21767 34.46207, 34.2271 34.44978, 34.23724 34.45316, 34.24598 34.45698, 34.24985 34.46608))",True
SLK-0105,2019-07-05T16:40:01Z,Sentinel-1A,Sentinel1A_20190705_164001_827,Eastern Mediterranean Sea,dense_oil_zone,ambiguous,0.771,0.469,10.403,41.0,33.78782,30.09338,"POLYGON((30.10725 33.7879, 30.10287 33.79642, 30.09835 33.80358, 30.08679 33.80044, 30.0801 33.7917, 30.07027 33.7801, 30.08287 33.76843, 30.09697 33.77236, 30.10911 33.77428, 30.10725 33.7879))",True
SLK-0113,2019-07-10T04:11:01Z,Sentinel-1B,Sentinel1B_20190710_041101_830,Eastern Mediterranean Sea,dense_oil_zone,coincident_vessel,0.729,0.65,3.268,86.0,34.54978,31.48279,"POLYGON((31.49446 34.55104, 31.48829 34.55897, 31.47554 34.55846, 31.4687 34.55008, 31.47741 34.54174, 31.48968 34.54249, 31.49446 34.55104))",False
SLK-0018,2019-07-14T16:40:35Z,Sentinel-1B,Sentinel1B_20190714_164035_197,Eastern Mediterranean Sea,dense_oil_zone,natural_seep,0.823,0.527,11.186,51.7,31.90678,33.68626,"POLYGON((33.70736 31.90628, 33.69738 31.9165, 33.69061 31.92216, 33.67489 31.92231, 33.66754 31.91205, 33.67325 31.90186, 33.67225 31.89117, 33.68743 31.89066, 33.70495 31.89697, 33.70736 31.90628))",False
SLK-0086,2019-07-14T16:40:50Z,Sentinel-1B,Sentinel1B_20190714_164050_953,Eastern Mediterranean Sea,dense_oil_zone,coincident_vessel,0.88,0.649,2.636,83.8,34.32283,35.15011,"POLYGON((35.16084 34.32396, 35.15671 34.32861, 35.15093 34.33341, 35.1403 34.32902, 35.14071 34.32299, 35.14266 34.31717, 35.15047 34.31467, 35.15595 34.3178, 35.16084 34.32396))",True
SLK-0027,2019-07-18T04:09:35Z,Sentinel-1B,Sentinel1B_20190718_040935_634,Eastern Mediterranean Sea,dense_oil_zone,infrastructure,0.965,0.728,15.284,42.7,33.57437,30.26335,"POLYGON((30.28993 33.57161, 30.27234 33.58797, 30.25286 33.592, 30.2442 33.57362, 30.2532 33.56241, 30.27466 33.56229, 30.28993 33.57161))",True
SLK-0003,2019-07-18T04:09:47Z,Sentinel-1B,Sentinel1B_20190718_040947_124,Eastern Mediterranean Sea,dense_oil_zone,ambiguous,0.862,0.389,3.128,71.5,31.83854,32.98439,"POLYGON((32.99409 31.83785, 32.99378 31.84349, 32.9848 31.8491, 32.98087 31.84411, 32.97392 31.84277, 32.97568 31.83489, 32.97974 31.82993, 32.98722 31.83064, 32.99209 31.83412, 32.99409 31.83785))",False
SLK-0106,2019-07-18T04:11:08Z,Sentinel-1B,Sentinel1B_20190718_041108_872,Eastern Mediterranean Sea,dense_oil_zone,coincident_vessel,0.812,0.817,1.841,80.4,34.38467,34.81109,"POLYGON((34.81758 34.38479, 34.81547 34.38929, 34.8102 34.39271, 34.80617 34.38913, 34.80095 34.38535, 34.8045 34.37992, 34.81193 34.37726, 34.81812 34.37818, 34.81758 34.38479))",True
SLK-0061,2019-07-18T04:12:05Z,Sentinel-1B,Sentinel1B_20190718_041205_324,Eastern Mediterranean Sea,full_coverage,coincident_vessel,0.747,0.961,12.467,45.8,35.21449,27.42473,"POLYGON((27.44855 35.21554, 27.43872 35.22316, 27.42635 35.23123, 27.41598 35.229, 27.40517 35.22097, 27.39988 35.20891, 27.41053 35.19475, 27.42939 35.19227, 27.43713 35.20656, 27.44855 35.21554))",False
